Title,Year,Standardized Title
A Systematic Review And Meta-Analysis On Sex-Based Disparities In Patients With Chronic Limb Threatening Ischemia Undergoing Revascularization,2023,a systematic review and meta-analysis on sex-based disparities in patients with chronic limb threatening ischemia undergoing revascularization
Drug-Eluting Balloon Angioplasty Versus Uncoated Balloon Angioplasty For Peripheral Arterial Disease Of The Lower Limbs: A Cochrane Systematic Review Update,2023,drug-eluting balloon angioplasty versus uncoated balloon angioplasty for peripheral arterial disease of the lower limbs: a cochrane systematic review update
A Meta-Analysis To Derive Population-Based Quality Benchmarks Of The Incidence Of Surgical Site Infection After Lower Limb Revascularization Surgery,2023,a meta-analysis to derive population-based quality benchmarks of the incidence of surgical site infection after lower limb revascularization surgery
Predictors And Outcomes Of Delays In Revascularization In Patients With Chronic Limbthreatening Ischemia,2023,predictors and outcomes of delays in revascularization in patients with chronic limbthreatening ischemia
Report From A Phase 2 Prospective Randomized Placebo Controlled Trial Of Autologous Stem Cells To Treat Patients With No Option Critical Limb Ischemia: The Acp Cli Trial,2023,report from a phase 2 prospective randomized placebo controlled trial of autologous stem cells to treat patients with no option critical limb ischemia: the acp cli trial
Morbidity And Mortality Following Evar And Open Aaa Repair In Ruptured Abdominal Aortic Aneurysms In Octogenarians,2023,morbidity and mortality following evar and open aaa repair in ruptured abdominal aortic aneurysms in octogenarians
Five Year Outcomes Of Endosuture Aneurysm Repair (Esar) In Patients With Short Neck Abdominal Aortic Aneurysm From The Anchor Registry,2023,five year outcomes of endosuture aneurysm repair (esar) in patients with short neck abdominal aortic aneurysm from the anchor registry
Mortality Outcomes Of Endovascular Aortic Balloon Control In Open Ruptured Abdominal Aortic Aneurysm Repair,2023,mortality outcomes of endovascular aortic balloon control in open ruptured abdominal aortic aneurysm repair
Impact Of Treatment Timing In Endovascular Aneurysm Repair Of Abdominal Aortic Aneurysms,2023,impact of treatment timing in endovascular aneurysm repair of abdominal aortic aneurysms
Outcomes Of Renal Branch Instability In Patients Undergoing Fenestrated-Branched Endovascular Aortic Repair,2023,outcomes of renal branch instability in patients undergoing fenestrated-branched endovascular aortic repair
Aortic Arch Endovascular Branch And Fenestrated Repair: A Consecutive Case Series,2023,aortic arch endovascular branch and fenestrated repair: a consecutive case series
Feasibility Of Physician Modified Stent Grafts In Emergent Aortic Presentations,2023,feasibility of physician modified stent grafts in emergent aortic presentations
The Impact Of Obesity On Outcomes After Fenestrated-Branched Endovascular Aneurysm Repair,2023,the impact of obesity on outcomes after fenestrated-branched endovascular aneurysm repair
Practical And Ethical Challenges Of Maintaining Vascular Access In Chronic Kidney Disease: A Qualitative Interview Study,2023,practical and ethical challenges of maintaining vascular access in chronic kidney disease: a qualitative interview study
The Carbon Footprint Of The Vascular Surgery Operating Room,2023,the carbon footprint of the vascular surgery operating room
Slash And Splash Technique For Lower Extremity Vein Graft Stenosis Has Excellent Midterm Patency And Freedom From Re-Stenosis,2023,slash and splash technique for lower extremity vein graft stenosis has excellent midterm patency and freedom from re-stenosis
Assessment Of Cardiovascular Risk Modification Therapies Amongst Vascular Surgery Patients Admitted With Chronic Limb Threatening Ischemia,2023,assessment of cardiovascular risk modification therapies amongst vascular surgery patients admitted with chronic limb threatening ischemia
Management Of Renal Artery Aneurysms: A Retrospective Study,2023,management of renal artery aneurysms: a retrospective study
Reproducibility Of Original Phase-Iii Or Higher Randomized Controlled Trial Results In Vascular And Endovascular Surgery: A Meta-Epidemiological Study,2023,reproducibility of original phase-iii or higher randomized controlled trial results in vascular and endovascular surgery: a meta-epidemiological study
Zone O Branched Endovascular Aortic Arch Repair,2023,zone o branched endovascular aortic arch repair
Assessing The Robustness Of Positive Vascular Surgery Randomized Controlled Trials Using Their Fragility Index,2023,assessing the robustness of positive vascular surgery randomized controlled trials using their fragility index
Evaluating Appropriateness And Readability Of Clinical Vascular Surgery Recommendations Generated By An Artificial Intelligence Online Language Model (Chatgpt),2023,evaluating appropriateness and readability of clinical vascular surgery recommendations generated by an artificial intelligence online language model (chatgpt)
Canada’s First Ladies Of Vascular Surgery,2023,canada’s first ladies of vascular surgery
A Systematic Review Of Outcomes Following Repair Of Ruptured Abdominal Aortic Aneurysms In Women,2023,a systematic review of outcomes following repair of ruptured abdominal aortic aneurysms in women
Evar Vs Open Repair For The Management Of Ruptured Abdominal Aortic Aneurysm: A Systematic Review And Meta-Analysis,2023,evar vs open repair for the management of ruptured abdominal aortic aneurysm: a systematic review and meta-analysis
Impact Of Sex On Outcomes Of Mechanical Thrombectomy For Acute Pulmonary Embolism,2023,impact of sex on outcomes of mechanical thrombectomy for acute pulmonary embolism
Improving Outcomes In Lower Extremity Amputations: A Systematic Review Of Multidisciplinary Teams And Clinical Pathway Implementation,2023,improving outcomes in lower extremity amputations: a systematic review of multidisciplinary teams and clinical pathway implementation
Outcomes Of Amputation Versus Limb Salvage In Patients With Acute Limb Ischemia,2023,outcomes of amputation versus limb salvage in patients with acute limb ischemia
Safety And Efficacy Of Various Endovascular Treatments In Patients With Critical Limb Ischemia: A Network Meta-Analysis,2023,safety and efficacy of various endovascular treatments in patients with critical limb ischemia: a network meta-analysis
A Scoping Review Of Prehabilitation In Vascular Surgery,2023,a scoping review of prehabilitation in vascular surgery
The Impact Of Preoperative Frailty On Outcomes Of Elective Endovascular Aneurysm Repair,2023,the impact of preoperative frailty on outcomes of elective endovascular aneurysm repair
Long-Term Outcomes Of Endovascular Versus Open Repair For Abdominal Aortic Aneurysms: A Meta-Analysis,2023,long-term outcomes of endovascular versus open repair for abdominal aortic aneurysms: a meta-analysis
Predictors Of Mortality In Patients Undergoing Major Lower Extremity Amputation,2023,predictors of mortality in patients undergoing major lower extremity amputation
Endovascular Management Of Aortoiliac Occlusive Disease: A Systematic Review,2023,endovascular management of aortoiliac occlusive disease: a systematic review
Outcomes Of Carotid Artery Stenting Versus Carotid Endarterectomy In High-Risk Patients,2023,outcomes of carotid artery stenting versus carotid endarterectomy in high-risk patients
The Role Of Artificial Intelligence In Predicting Outcomes Of Vascular Surgery,2023,the role of artificial intelligence in predicting outcomes of vascular surgery
Impact Of Hospital Volume On Outcomes Of Endovascular Aortic Repair,2023,impact of hospital volume on outcomes of endovascular aortic repair
Evaluation Of Novel Biomarkers For Early Detection Of Acute Kidney Injury Post-Vascular Surgery,2023,evaluation of novel biomarkers for early detection of acute kidney injury post-vascular surgery
Comparative Effectiveness Of Drug-Eluting Versus Bare-Metal Stents In Peripheral Artery Disease,2023,comparative effectiveness of drug-eluting versus bare-metal stents in peripheral artery disease
Outcomes Of Hybrid Versus Full Endovascular Repair For Complex Aortic Aneurysms,2023,outcomes of hybrid versus full endovascular repair for complex aortic aneurysms
Gender Disparities In Access To Vascular Surgery Care: A Population-Based Study,2023,gender disparities in access to vascular surgery care: a population-based study
Canada’s First Ladies Of Vascular Surgery,2023,canada’s first ladies of vascular surgery
A Systematic Review And Meta-Analysis On Sex-Based Disparities In Patients With Chronic Limb Threatening Ischemia Undergoing Revascularization,2023,a systematic review and meta-analysis on sex-based disparities in patients with chronic limb threatening ischemia undergoing revascularization
Drug-Eluting Balloon Angioplasty Versus Uncoated Balloon Angioplasty For Peripheral Arterial Disease Of The Lower Limbs: A Cochrane Systematic Review Update,2023,drug-eluting balloon angioplasty versus uncoated balloon angioplasty for peripheral arterial disease of the lower limbs: a cochrane systematic review update
A Meta-Analysis To Derive Population-Based Quality Benchmarks Of The Incidence Of Surgical Site Infection After Lower Limb Revascularization Surgery,2023,a meta-analysis to derive population-based quality benchmarks of the incidence of surgical site infection after lower limb revascularization surgery
Predictors And Outcomes Of Delays In Revascularization In Patients With Chronic Limb-Threatening Ischemia,2023,predictors and outcomes of delays in revascularization in patients with chronic limb-threatening ischemia
Report From A Phase 2 Prospective Randomized Placebo Controlled Trial Of Autologous Stem Cells To Treat Patients With No Option Critical Limb Ischemia: The Acp-Cli Trial,2023,report from a phase 2 prospective randomized placebo controlled trial of autologous stem cells to treat patients with no option critical limb ischemia: the acp-cli trial
Morbidity And Mortality Following Evar And Open Aaa Repair In Ruptured Abdominal Aortic Aneurysms In Octogenarians,2023,morbidity and mortality following evar and open aaa repair in ruptured abdominal aortic aneurysms in octogenarians
Five Year Outcomes Of Endosuture Aneurysm Repair (Esar) In Patients With Short Neck Abdominal Aortic Aneurysm From The Anchor Registry,2023,five year outcomes of endosuture aneurysm repair (esar) in patients with short neck abdominal aortic aneurysm from the anchor registry
Mortality Outcomes Of Endovascular Aortic Balloon Control In Open Ruptured Abdominal Aortic Aneurysm Repair,2023,mortality outcomes of endovascular aortic balloon control in open ruptured abdominal aortic aneurysm repair
Impact Of Treatment Timing In Endovascular Aneurysm Repair Of Abdominal Aortic Aneurysms,2023,impact of treatment timing in endovascular aneurysm repair of abdominal aortic aneurysms
Outcomes Of Renal Branch Instability In Patients Undergoing Fenestrated-Branched Endovascular Repair,2023,outcomes of renal branch instability in patients undergoing fenestrated-branched endovascular repair
Endovascular Repair Of Chronic Aortic Dissections With F/Bevar,2023,endovascular repair of chronic aortic dissections with f/bevar
Aortic Arch Endovascular Branch And Fenestrated Repair: A Consecutive Case Series,2023,aortic arch endovascular branch and fenestrated repair: a consecutive case series
Clinical Impact Of Chronic Kidney Disease On Patients Undergoing Branched-Fenestrated Endovascular Aortic Repair,2023,clinical impact of chronic kidney disease on patients undergoing branched-fenestrated endovascular aortic repair
Impact Of Device Representatives In The Operating Room On Clinical Outcomes During Standard Infra-Renal Endovascular Repair Of Aneurysm (Evar),2023,impact of device representatives in the operating room on clinical outcomes during standard infra-renal endovascular repair of aneurysm (evar)
Left Vertebral Artery Revascularization In Distal Aortic Arch Surgery: Comparative Study Of Patients With And Without Aberrant Left Vertebral Anatomy,2023,left vertebral artery revascularization in distal aortic arch surgery: comparative study of patients with and without aberrant left vertebral anatomy
Antegrade Laser In-Situ Fenestration For The Treatment Of Thoracoabdominal And Juxta-Renal Aortic Aneurysms,2023,antegrade laser in-situ fenestration for the treatment of thoracoabdominal and juxta-renal aortic aneurysms
