Title,Year,Standardized Title
Current Management Of Venous Diseases,2024,current management of venous diseases
The Comprehensive Evaluation Of The Patient With Venous Disease,2024,the comprehensive evaluation of the patient with venous disease
Advances In Compression Therapy And Conservative Management,2024,advances in compression therapy and conservative management
Contemporary Modalities To Treat Superficial Venous Reflux,2024,contemporary modalities to treat superficial venous reflux
Guidelines And Techniques For Placement And Retrieval Of IVC Filters,2024,guidelines and techniques for placement and retrieval of ivc filters
The Cosmetic Aspect Of Venous Disease,2024,the cosmetic aspect of venous disease
The Essential Components Of A Successful Venous Practice,2024,the essential components of a successful venous practice
How And When To Treat Non-Thrombotic Iliocaval Outflow Obstruction,2024,how and when to treat non-thrombotic iliocaval outflow obstruction
Pelvic Congestion Syndrome,2024,pelvic congestion syndrome
Antithrombotic Therapy For Venous Disease,2024,antithrombotic therapy for venous disease
Patient And Device Selection For Interventional Treatment Of DVT,2024,patient and device selection for interventional treatment of dvt
Treatment Of Chronic Iliocaval Obstruction And Atresia,2024,treatment of chronic iliocaval obstruction and atresia
Who Should Not Get Vein Ablation?,2024,who should not get vein ablation?
The Next Frontier – Deep Venous Reflux,2024,the next frontier – deep venous reflux
Investigation Into Clinical Practice Guidelines For Preoperative Methicillinresistant Staphylococcus Aureus Screening In Elective Surgical Procedures,2024,investigation into clinical practice guidelines for preoperative methicillinresistant staphylococcus aureus screening in elective surgical procedures
Management Of Mycotic Aneurysms,2024,management of mycotic aneurysms
New Age Of Bypasses: A Look Into DETOUR,2024,new age of bypasses: a look into detour
Thoracic Outlet Syndrome,2024,thoracic outlet syndrome
Data Collection And The VQI,2024,data collection and the vqi
Veteran Centered Care In Vascular Surgery,2024,veteran centered care in vascular surgery
Perioperative Care Of Amputees,2024,perioperative care of amputees
Dysphagia Lusoria,2024,dysphagia lusoria
Management Of Perioperative Blood Pressure For Carotid Patients,2024,management of perioperative blood pressure for carotid patients
Outcomes Following Fenestrated Endovascular Aortic Aneurysm Repair For Failed Open Infrarenal Aortic Repair Compared With Primary Fenestrated Endovascular Aortic Repair,2024,outcomes following fenestrated endovascular aortic aneurysm repair for failed open infrarenal aortic repair compared with primary fenestrated endovascular aortic repair
Evolution Of Approaches For CLTI Management After The Publication Of BEST-CLI,2024,evolution of approaches for clti management after the publication of best-cli
Regional And Center-Based Variation In Arteriovenous Fistula Placement As A First-Time Hemodialysis Access,2024,regional and center-based variation in arteriovenous fistula placement as a first-time hemodialysis access
Peripheral Vascular Emboli In Patients With Infective Endocarditis,2024,peripheral vascular emboli in patients with infective endocarditis
Outcomes Of Mechanical Thrombectomy For Acute Limb Ischemia At A Tertiary Referral Center,2024,outcomes of mechanical thrombectomy for acute limb ischemia at a tertiary referral center
Textbook Outcomes As A Novel Patient Centric Metric To Inform Carotid Revascularization,2024,textbook outcomes as a novel patient centric metric to inform carotid revascularization
Vein Bypass Surgery for Limb Ischemia: Past is Prologue,2024,vein bypass surgery for limb ischemia: past is prologue
Completely Percutaneous Retrieval Of A Large Migrated Iliac Venous Stent,2024,completely percutaneous retrieval of a large migrated iliac venous stent
Comparison Of Open And Endovascular Left Subclavian Artery Revascularization For Zone 2 Thoracic Endovascular Aortic Repair,2024,comparison of open and endovascular left subclavian artery revascularization for zone 2 thoracic endovascular aortic repair
The Impact Of Diabetes Mellitus On The Outcomes Of Revascularization For Chronic Limb-Threatening Ischemia In The BEST-CLI Trial,2024,the impact of diabetes mellitus on the outcomes of revascularization for chronic limb-threatening ischemia in the best-cli trial
Exploring Socioeconomic Disparities In Outcomes And Follow-Up After Endovascular Treatment Of Abdominal Aortic Aneurysms Among Medicare Beneficiaries,2024,exploring socioeconomic disparities in outcomes and follow-up after endovascular treatment of abdominal aortic aneurysms among medicare beneficiaries
Outcomes Following Carotid Revascularization In Patients With Prior Ipsilateral Carotid Artery Stenting,2024,outcomes following carotid revascularization in patients with prior ipsilateral carotid artery stenting
Advanced Wifi Stage Is Associated With Poor Outcomes In The BEST-CLI Trial,2024,advanced wifi stage is associated with poor outcomes in the best-cli trial
"Open, Endo, Stagnation? How to Expand the Vascular Surgery Skillset",2024,"open, endo, stagnation? how to expand the vascular surgery skillset"
Prosthetic Conduits Have Worse Outcomes Compared To Great Saphenous Vein Conduits In Femoropopliteal And Infrapopliteal Bypass In Patients With Chronic Limb Threatening Ischemia,2024,prosthetic conduits have worse outcomes compared to great saphenous vein conduits in femoropopliteal and infrapopliteal bypass in patients with chronic limb threatening ischemia
Earned Outcome Metrics Outperform Recommended Open Abdominal Aortic Aneurysm Repair Volume Guidelines In Discriminating Perioperative Mortality Among Centers,2024,earned outcome metrics outperform recommended open abdominal aortic aneurysm repair volume guidelines in discriminating perioperative mortality among centers
Outcomes Of Redo Vs. Primary Carotid Endarterectomy In The TCAR Era,2024,outcomes of redo vs. primary carotid endarterectomy in the tcar era
The Changing Landscape of Aortic Surgery,2024,the changing landscape of aortic surgery
Target Artery Stent Graft Dislodgement During 4-Vessel Branched Endovascular Repair Of An Extent 2 TAAA: Salvage Techniques And Lessons Learned,2024,target artery stent graft dislodgement during 4-vessel branched endovascular repair of an extent 2 taaa: salvage techniques and lessons learned
Trends And Outcomes Over Time With Fenestrated And Branched Endovascular Aortic Repair In The United States Aortic Research Consortium,2024,trends and outcomes over time with fenestrated and branched endovascular aortic repair in the united states aortic research consortium
The Contemporary Natural History Of Minor Amputation Among Diabetic Patients With PAD,2024,the contemporary natural history of minor amputation among diabetic patients with pad
Tibial Bypass in the Absence of Saphenous Vein: Reflections on the “State of the Art”,2024,tibial bypass in the absence of saphenous vein: reflections on the “state of the art”
Utilization Of Subsidized Transportation Services To Improve Follow-Up And Wound Healing In A Limb Preservation Program,2024,utilization of subsidized transportation services to improve follow-up and wound healing in a limb preservation program
Type 3 Endoleaks May Be More Prevalent Than Previously Reported Sacotomy Case Series,2024,type 3 endoleaks may be more prevalent than previously reported sacotomy case series
Post-Operative Disability And Associated Outcomes For Patients Suffering A Stroke After Carotid Artery Stenting,2024,post-operative disability and associated outcomes for patients suffering a stroke after carotid artery stenting
Surgical Outcomes Of Vascular Exposure For Anterior Lumbar Interbody Fusion Compared To Newer Oblique Lumbar Interbody Fusion - A Single Center Retrospective Cohort,2024,surgical outcomes of vascular exposure for anterior lumbar interbody fusion compared to newer oblique lumbar interbody fusion - a single center retrospective cohort
Variations In Antithrombotic Combinations And Prescription Durations After Lower Extremity Revascularization In Patients With Peripheral Arterial Disease,2024,variations in antithrombotic combinations and prescription durations after lower extremity revascularization in patients with peripheral arterial disease
Superior Mesenteric Artery Transposition: A Versatile Surgical Technique For Acute And Chronic Vascular Conditions,2024,superior mesenteric artery transposition: a versatile surgical technique for acute and chronic vascular conditions
Impact Of Chronic Kidney Disease On Outcomes Following Vascular Procedures In The Vascular Quality Initiative,2024,impact of chronic kidney disease on outcomes following vascular procedures in the vascular quality initiative
"Antiplatelet Therapy, Not Anticoagulation, Is Associated With Improved Outcomes After Lower Extremity Cryopreserved Vein Bypasses",2024,"antiplatelet therapy, not anticoagulation, is associated with improved outcomes after lower extremity cryopreserved vein bypasses"
Factors Associated With And Outcomes Of Respiratory Complications Following TEVAR,2024,factors associated with and outcomes of respiratory complications following tevar
Retrograde Access Flipped Antegrade Technique And Its Effect On Patient Outcomes Following Lower Extremity Angiography,2024,retrograde access flipped antegrade technique and its effect on patient outcomes following lower extremity angiography
Unique and Challenging Cases – What Would You Do?,2024,unique and challenging cases – what would you do?
Current Evidence For Best Medical Therapy Of Carotid Occlusive Disease,2023,current evidence for best medical therapy of carotid occlusive disease
Contemporary Cerebrovascular Imaging,2023,contemporary cerebrovascular imaging
Techniques And Tips For High Bifurcation CEA,2023,techniques and tips for high bifurcation cea
What Is The Rightful Role Of TCAR In Current Practice,2023,what is the rightful role of tcar in current practice
Carotid Shunting: When And How To Best Use,2023,carotid shunting: when and how to best use
The Current Management Of Chronic Near Occlusions,2023,the current management of chronic near occlusions
Panel Discussion,2023,panel discussion
Coffee Break,2023,coffee break
Eversion Endarterectomy: Technical Tips And When To Use,2023,eversion endarterectomy: technical tips and when to use
Transfemoral Stenting: Indications And Technical Tips,2023,transfemoral stenting: indications and technical tips
Penetrating Injuries To The Carotid Artery: Management Strategies,2023,penetrating injuries to the carotid artery: management strategies
The Current Management Of Carotid Dissection,2023,the current management of carotid dissection
"Management Of Carotid Infections, Pseudoaneurysms And Blowouts",2023,"management of carotid infections, pseudoaneurysms and blowouts"
How To Best Manage Carotid Tandem Lesions,2023,how to best manage carotid tandem lesions
Workup And Treatment Of Cerebral Hypoperfusion,2023,workup and treatment of cerebral hypoperfusion
"Zilver PTX: Data Transparency, Personalized Care, and Predictable, Patient Level Results",2023,"zilver ptx: data transparency, personalized care, and predictable, patient level results"
Management And Long-Term Functional Outcomes Of Upper Extremity Civilian Vascular Trauma,2023,management and long-term functional outcomes of upper extremity civilian vascular trauma
Pushing The EVAR Envelope Outside The IFU Is A Predictive Factor For Graft Explantation,2023,pushing the evar envelope outside the ifu is a predictive factor for graft explantation
Contemporary Outcomes Of Surgical Decompression For Functional Popliteal Entrapment Syndrome,2023,contemporary outcomes of surgical decompression for functional popliteal entrapment syndrome
The Effect Of Early Reintervention On Late Outcomes Following Infrarenal And Fenestrated Endovascular Aneurysm Repair,2023,the effect of early reintervention on late outcomes following infrarenal and fenestrated endovascular aneurysm repair
Outcomes Of Endovascular Intervention Of Atherosclerotic Lesions Confined To The Popliteal Artery,2023,outcomes of endovascular intervention of atherosclerotic lesions confined to the popliteal artery
Patient And Surgeon Decision Making In The Era Of Transcarotid Artery Revascularization,2023,patient and surgeon decision making in the era of transcarotid artery revascularization
Reflections & Opportunities in Vascular Surgery,2023,reflections & opportunities in vascular surgery
Contextualizing BEST-CLI With Real-World Vein Mapping Practice Patterns Before Endovascular Treatment Of Chronic Limb-Threatening Ischemia,2023,contextualizing best-cli with real-world vein mapping practice patterns before endovascular treatment of chronic limb-threatening ischemia
Biological Mechanisms Of Infection Resistance In Tissue Engineered Blood Vessels Compared To Synthetic PTFE Grafts,2023,biological mechanisms of infection resistance in tissue engineered blood vessels compared to synthetic ptfe grafts
AAA Repair Size Thresholds Used In Contemporary Practice Warrant Revision,2023,aaa repair size thresholds used in contemporary practice warrant revision
Next Generation IVC Filter Retrieval,2023,next generation ivc filter retrieval
"In-Situ Bypass, Open Or Closed, Is A Durable Technique For Limb Preservation Trends And Outcomes Over The Last 30 Years",2023,"in-situ bypass, open or closed, is a durable technique for limb preservation trends and outcomes over the last 30 years"
Targeted Use Of Post-Operative Discharge Phone Calls To Reduce 30-Day Hospital Readmission Rates After Vascular Surgery,2023,targeted use of post-operative discharge phone calls to reduce 30-day hospital readmission rates after vascular surgery
Open Aortic Reconstruction Configurations For Retroperitoneal Approach To Aortic Aneurysms: Aorto-Femoral Reconstruction Is A Negative Predictor Of Long-Term Outcomes,2023,open aortic reconstruction configurations for retroperitoneal approach to aortic aneurysms: aorto-femoral reconstruction is a negative predictor of long-term outcomes
T Cells Mediate Venous Adaptation Following Arteriovenous Fistula Creation,2023,t cells mediate venous adaptation following arteriovenous fistula creation
Patient-Reported Barriers For Participation In Supervised Exercise Therapy For Symptomatic Peripheral Artery Disease,2023,patient-reported barriers for participation in supervised exercise therapy for symptomatic peripheral artery disease
Be Curious,2023,be curious
Practice Patterns Of Antiplatelet And Anticoagulant Therapy After Fenestrated/Branched Endovascular Aortic Repair,2023,practice patterns of antiplatelet and anticoagulant therapy after fenestrated/branched endovascular aortic repair
Changes In Global Mortality From Aortic Aneurysm,2023,changes in global mortality from aortic aneurysm
Correlation Between Tibial And Coronary Artery Calcification And Their Predictive Value In Major Adverse Limb Events (MALE) And Major Adverse Cardiac Events (MACE),2023,correlation between tibial and coronary artery calcification and their predictive value in major adverse limb events (male) and major adverse cardiac events (mace)
Mentoring and Lifelong Learning,2023,mentoring and lifelong learning
Precision Medicine in Vascular Disease and the Evolving Role of Genetic Testing,2023,precision medicine in vascular disease and the evolving role of genetic testing
Implementation Of Fiber Optic Realshape Technology Reduces Radiation During Complex Endovascular Aortic Repair,2023,implementation of fiber optic realshape technology reduces radiation during complex endovascular aortic repair
Noise Audit Of Device Selection For Peripheral Vascular Interventions In The Vascular Quality Initiative,2023,noise audit of device selection for peripheral vascular interventions in the vascular quality initiative
Determinants Of Prosthetic Referral And Functional Mobility Following Prosthesis Fitting For Vascular Patients After Major Lower Extremity Amputation,2023,determinants of prosthetic referral and functional mobility following prosthesis fitting for vascular patients after major lower extremity amputation
Endovascular Removal Of A Large Free-Floating Thrombus Of The Descending Thoracic Aorta Using The Angiovac System,2023,endovascular removal of a large free-floating thrombus of the descending thoracic aorta using the angiovac system
The Physiologic Strain Of Operating Varies Among Vascular Surgeons And By Case Characteristics,2023,the physiologic strain of operating varies among vascular surgeons and by case characteristics
Factors Influencing Need For Hip Disarticulation After Heroic Vascular Intervention,2023,factors influencing need for hip disarticulation after heroic vascular intervention
Outcomes Following Fenestrated Endovascular Aortic Repair For Failed Infrarenal Endovascular Aortic Repair Compared With Primary Fenestrated Endovascular Aortic Repair,2023,outcomes following fenestrated endovascular aortic repair for failed infrarenal endovascular aortic repair compared with primary fenestrated endovascular aortic repair
Predicting Graft Thrombosis In Patients With Peripheral Artery Disease Using A Support Vector Machine Learning Model,2023,predicting graft thrombosis in patients with peripheral artery disease using a support vector machine learning model
High Incidence Of Subclavian Vein Stenosis At The Thoracic Outlet In Patients With Ipsilateral Upper Extremity Hemodialysis Access,2023,high incidence of subclavian vein stenosis at the thoracic outlet in patients with ipsilateral upper extremity hemodialysis access
The Impact Of Diabetes Mellitus On Outcomes Following Carotid Intervention For Asymptomatic Patients With >80% Stenosis,2023,the impact of diabetes mellitus on outcomes following carotid intervention for asymptomatic patients with >80% stenosis
Unique and Challenging Cases – What Would You Do?,2023,unique and challenging cases – what would you do?
Current And Complete Management Of Aortic Aneurysm Disease,2022,current and complete management of aortic aneurysm disease
Current Guidelines: AAA And TAA,2022,current guidelines: aaa and taa
Aneurysm Growth And Rupture Physiology,2022,aneurysm growth and rupture physiology
Current EVAR/TEVAR: IFU And Sizing,2022,current evar/tevar: ifu and sizing
"Transperitoneal Aortic Exposure: When, Tips And Tricks",2022,"transperitoneal aortic exposure: when, tips and tricks"
"Retroperitoneal Aortic Exposure: When, Tips And Tricks",2022,"retroperitoneal aortic exposure: when, tips and tricks"
Current State And Future Directions Of Advanced Endografting,2022,current state and future directions of advanced endografting
Aortic Dissection: Overview And Indications For TEVAR,2022,aortic dissection: overview and indications for tevar
"EVAR Explant: When, Considerations And Techniques",2022,"evar explant: when, considerations and techniques"
Aortic Trauma: Review And Treatments,2022,aortic trauma: review and treatments
Surgeon And Center Aortic Volume: Do They Matter?,2022,surgeon and center aortic volume: do they matter?
