Title,Year,Standardized Title
Benefits Of An Enhanced Recovery Pathway (Erp) For Lower Extremity Amputation Patients,2024,benefits of an enhanced recovery pathway (erp) for lower extremity amputation patients
Diagnostic Value Of Digital Pulse-Wave Amplitude In Dialysis Access-Associated Steal Syndrome,2024,diagnostic value of digital pulse-wave amplitude in dialysis access-associated steal syndrome
Association Between The Composite Shock Score And Pulmonary Artery Pressure Improvement Following Mechanical Thrombectomy,2024,association between the composite shock score and pulmonary artery pressure improvement following mechanical thrombectomy
Identifying Vascular Surgery Patients Who May Benefit From Upfront Major Amputation Versus Ongoing Minor Amputations,2024,identifying vascular surgery patients who may benefit from upfront major amputation versus ongoing minor amputations
Using Machine Learning To Predict Outcomes Of Patients With Blunt Traumatic Aortic Injuries,2024,using machine learning to predict outcomes of patients with blunt traumatic aortic injuries
Characterizing Arterial Limb Complications Secondary To Veno-Arterial Extracorporeal Membrane Oxygenation,2024,characterizing arterial limb complications secondary to veno-arterial extracorporeal membrane oxygenation
Socioeconomic Status Based On Area Deprivation Index Does Not Affect Postoperative Outcomes In Patients Undergoing Endovascular Aortic Aneurysm Repair In The Va Healthcare System,2024,socioeconomic status based on area deprivation index does not affect postoperative outcomes in patients undergoing endovascular aortic aneurysm repair in the va healthcare system
Use Of Iliac Branch Endoprosthesis (Ibe) To Repair Internal Iliac Artery Aneurysms And Preserve Pelvic Blood Flow,2024,use of iliac branch endoprosthesis (ibe) to repair internal iliac artery aneurysms and preserve pelvic blood flow
Effects Of Racial Bias In First Time Vascular Access For Hemodialysis,2024,effects of racial bias in first time vascular access for hemodialysis
Contemporary Outcomes After Endoscopic Vein Harvesting For Lower Extremity Bypass In A Multicenter Subspecialty Practice,2024,contemporary outcomes after endoscopic vein harvesting for lower extremity bypass in a multicenter subspecialty practice
Current Duplex Velocity-Based Estimates Of Carotid Stenosis Are Unreliable In Heart Failure Patients With Reduced Ejection Fractions,2024,current duplex velocity-based estimates of carotid stenosis are unreliable in heart failure patients with reduced ejection fractions
Validation Of The Rapid Estimate Of Adult Literacy In Vascular Surgery (Real_Vs) In A Veteran Patient Population,2024,validation of the rapid estimate of adult literacy in vascular surgery (real_vs) in a veteran patient population
Improving Detection Of Occult Depression In Chronic Limb Threatening Ischemia (Clti) With A Customized Clti-Specific Depression Screening Tool,2024,improving detection of occult depression in chronic limb threatening ischemia (clti) with a customized clti-specific depression screening tool
Predicting Lesion-Crossability Using A Novel Magnetic Resonance Histology Score To Improve Planning Of Percutaneous Vascular Interventions In Chronic-Limb Threatening Ischemia Patients,2024,predicting lesion-crossability using a novel magnetic resonance histology score to improve planning of percutaneous vascular interventions in chronic-limb threatening ischemia patients
Does Age Really Matter? Evaluating Outcomes In Pediatric And Adult Patients Following First Rib Resection And Anterior Scalenectomy For Thoracic Outlet Syndrome,2024,does age really matter? evaluating outcomes in pediatric and adult patients following first rib resection and anterior scalenectomy for thoracic outlet syndrome
Interfacility Transfer Is Associated With Higher Postoperative Amputation In Patients Undergoing Lower Extremity Bypass For Acute Limb Ischemia: A Multi-Institutional Study From Vascular Quality Initiative,2024,interfacility transfer is associated with higher postoperative amputation in patients undergoing lower extremity bypass for acute limb ischemia: a multi-institutional study from vascular quality initiative
Can It Pass The Test? Chatgpt Performance On The Vascular Education And Self-Assessment Program (Vesap),2024,can it pass the test? chatgpt performance on the vascular education and self-assessment program (vesap)
Mycotic Sma Aneurysm From Septic Endocarditis - A Challenging Problem Still In The Realm Of Open Repair,2024,mycotic sma aneurysm from septic endocarditis - a challenging problem still in the realm of open repair
Referral And Imaging Surveillance Patterns For Uncomplicated Type B Aortic Dissection At A Tertiary Referral Center,2024,referral and imaging surveillance patterns for uncomplicated type b aortic dissection at a tertiary referral center
Discussion On Operating Room Ergonomics Is Protective Of Chronic Pain During Vascular Surgery Training,2024,discussion on operating room ergonomics is protective of chronic pain during vascular surgery training
Length Of Stay And Operating Schedule Efficiency Are Not Impacted With Implementation Of An Acute Care Service Model,2024,length of stay and operating schedule efficiency are not impacted with implementation of an acute care service model
Assessment Of Long-Term Durability Of Left Subclavian Retrograde In Situ Laser Fenestration In Thoracic Endovascular Aortic Repair,2024,assessment of long-term durability of left subclavian retrograde in situ laser fenestration in thoracic endovascular aortic repair
Comparison Of Open Aortoiliac Disease Reconstructions In The Modern Era,2024,comparison of open aortoiliac disease reconstructions in the modern era
Wound Healing In Older Adults After Major Lower Extremity Amputation,2024,wound healing in older adults after major lower extremity amputation
Severe Platelet Transfusion Refractoriness After Open Thoracoabdominal Aneurysm Repair,2024,severe platelet transfusion refractoriness after open thoracoabdominal aneurysm repair
Acute Type A Aortic Dissection: A Vascular Surgeon’s Perspective,2024,acute type a aortic dissection: a vascular surgeon’s perspective
Non-White Race Is Associated With Higher Risk Of Amputation In Patients With Lower Wifi Scores,2024,non-white race is associated with higher risk of amputation in patients with lower wifi scores
Preoperative Risk Factors For 1 Year Mortality In Patients Undergoing Fenestrated Endovascular Aortic Aneurysm Repair In The US Aortic Research Consortium,2024,preoperative risk factors for 1 year mortality in patients undergoing fenestrated endovascular aortic aneurysm repair in the us aortic research consortium
Frailty Scores Impact The Outcomes Of Urgent Carotid Interventions In Acute Stroke Patients: A Comprehensive Analysis Of Risk And Prognosis,2024,frailty scores impact the outcomes of urgent carotid interventions in acute stroke patients: a comprehensive analysis of risk and prognosis
Effect Of Fenestration Configuration On Renal Artery Outcomes During Fenestrated-Branched Endovascular Aortic Repair,2024,effect of fenestration configuration on renal artery outcomes during fenestrated-branched endovascular aortic repair
Diagnosis And Treatment Of Ischemia-Producing Coronary Stenoses Improves 5-Year Survival Of Patients Undergoing Major Vascular Surgery,2024,diagnosis and treatment of ischemia-producing coronary stenoses improves 5-year survival of patients undergoing major vascular surgery
"Work For A Dollar Get Reimbursed A Dime, An Analysis Of The Dire Need For Coders Trained In Vascular Billing",2024,"work for a dollar get reimbursed a dime, an analysis of the dire need for coders trained in vascular billing"
Volumetric Analysis Of Uncomplicated Type B Aortic Dissection Using An Automated Deep Learning Aortic Zone Segmentation Model,2024,volumetric analysis of uncomplicated type b aortic dissection using an automated deep learning aortic zone segmentation model
Academic Productivity And Vascular-Specific Content From Social Media Influencers In Vascular Surgery Compared To Complementary Specialties,2024,academic productivity and vascular-specific content from social media influencers in vascular surgery compared to complementary specialties
Multi-Level Thrombotic/Embolic Burden And Its Role In Gender-Related Outcomes In Acute Limb Ischemia,2024,multi-level thrombotic/embolic burden and its role in gender-related outcomes in acute limb ischemia
Utility Of Motor Evoked Potentials In Open Thoracoabdominal Aortic Repair And Risk Factors Associated With Spinal Cord Ischemia,2024,utility of motor evoked potentials in open thoracoabdominal aortic repair and risk factors associated with spinal cord ischemia
Vascular In-Person For Students In The Match Trial (VISIT): An Investigation Of Post-Interview Site Visits To Address The Limitations Of Virtual Interviews,2024,vascular in-person for students in the match trial (visit): an investigation of post-interview site visits to address the limitations of virtual interviews
Temporal Trends In Hemodialysis Access Creation In The Fistula First Era: Are Rates Of Forearm Arteriovenous Fistulas Increasing?,2024,temporal trends in hemodialysis access creation in the fistula first era: are rates of forearm arteriovenous fistulas increasing?
Perioperative And Long-Term Outcomes Of Patients With Pulmonary Embolism Undergoing Catheter-Directed Thrombolysis Versus Percutaneous Mechanical Thrombectomy,2024,perioperative and long-term outcomes of patients with pulmonary embolism undergoing catheter-directed thrombolysis versus percutaneous mechanical thrombectomy
Renal Artery Stenting In Patients On Dialysis: Utility Or Futility?,2024,renal artery stenting in patients on dialysis: utility or futility?
A Patient-Centered Textbook Outcome Measure Effectively Discriminates Contemporary Elective Open Abdominal Aortic Aneurysm Repair Quality,2024,a patient-centered textbook outcome measure effectively discriminates contemporary elective open abdominal aortic aneurysm repair quality
The Surgical Trainee Equity Metric: Identifying Racial And Ethnic Disparities Among Surgical Specialties,2024,the surgical trainee equity metric: identifying racial and ethnic disparities among surgical specialties
Transitions Of Frailty After Lower Extremity Interventions For Chronic Limb-Threatening Ischemia,2024,transitions of frailty after lower extremity interventions for chronic limb-threatening ischemia
Medical Management Versus TEVAR In Grade 2 Blunt Thoracic Aortic Injury From The Aortic Trauma Foundation Global Registry,2024,medical management versus tevar in grade 2 blunt thoracic aortic injury from the aortic trauma foundation global registry
Clopidogrel Resistance Rates In Patients Undergoing Transcarotid Artery Revascularization In A Community Center,2024,clopidogrel resistance rates in patients undergoing transcarotid artery revascularization in a community center
Aortoiliac Endarterectomy Provides A Durable Alternative To Bypass In Women And Patients With Small Native Vessels,2024,aortoiliac endarterectomy provides a durable alternative to bypass in women and patients with small native vessels
Variations In Lesion Morphology: Exploring Sex-Based Differences In Peripheral Arterial Disease,2024,variations in lesion morphology: exploring sex-based differences in peripheral arterial disease
A Novel Risk Calculator For Nonhome Discharge After Lower Extremity Bypass,2024,a novel risk calculator for nonhome discharge after lower extremity bypass
Prosthetic Outcomes After Amputation And The Impact Of Mobility Level On Survival,2024,prosthetic outcomes after amputation and the impact of mobility level on survival
Early And Intermediate Clinical Outcome Of Transcarotid Artery Revascularization Vs Carotid Endarterectomy From A Large Single Center Experience,2024,early and intermediate clinical outcome of transcarotid artery revascularization vs carotid endarterectomy from a large single center experience
