Title,Year,Standardized Title
Managing Bioburden in Complex Surgical Wounds From The Start,2024,major enhancements to vqi reporting: introduction
Delivering Results in a Hostile Anatomy: How Treatment with the GORE Excluder Conformable AAA Endoprosthesis Achieved Results in Patients with up to 90˚ Necks as Short as 10mm in Length,2024,major enhancements to vqi reporting: harnessing the vqi lower extremity amputation registry to improve care of patients undergoing lower extremity amputation at a tertiary medical center
Review of the NCD,2024,major enhancements to vqi reporting: real time online dashboard reporting
Update on CREST 2,2024,major enhancements to vqi reporting: q&a
Asymptomatic Carotid Disease,2024,fivos updates: introduction
Should Vascular Surgeons be Involved in Stroke Centers,2024,"fivos updates: support, automated data abstraction, platform enhancements, and more"
New Data on Transfemoral Carotid Stent and New Technologies Since the Last NCD,2024,fivos updates: q&a
The Totality of Data Available Supporting TCAR,2024,data integrity initiatives in the vqi: introduction
Optimal TCAR Technique to Make It As Minimally Invasive as Possible,2024,data integrity initiatives in the vqi: building a comprehensive vascular program
"Training the Next Generation on CEA, TCAR, and TF-CAS, How Will We Do It?",2024,data integrity initiatives in the vqi: 2024 carotid vqi source data audit review
Optimal Assessment of Vein Conduit,2024,data integrity initiatives in the vqi: q&a
"Bypass with Single Segment Saphenous Vein—Reversed Approach, Non-Reversed Approach, In Situ Approach",2024,aorta registry education: introduction
Bypass Using Alternative Autogenous Vein,2024,tevar education and inclusion/exclusion criteria review
Bypass Using Prosthetic Conduit,2024,aortic registry scenarios and panel discussion
The Impact of Previous Endo on Bypass Graft Decision Making and Outcomes,2024,carotid registry scenarios: introduction
Redo Bypass Grafting,2024,carotid registry scenarios: hemodynamic instability predicts in-hospital and 1-year mortality after transcarotid artery revascularization and transfemoral carotid stenting
Operative Completion Assessment: What is the Best Way to be Sure Your Bypass is OK?,2024,carotid registry scenarios: shared decision making tool update
Managing Vascular Wounds: Vascular Wound Care 101,2024,carotid registry scenarios and panel discussion
Closing the Gaps: Vascular Surgeon’s Practice Bare Essentials for a Successful Vascular Wound Care Practice,2024,lower extremity registry education: introduction
"Complex Vascular Wound Management: Infection Control in a Lower Extremity Wound, Adjunctive Procedures, Lower Extremity Venous Leg Ulcer",2024,lower extremity registry education: update on pad and new technologies for the treatment of chronic limb threatening ischemia
How I Do It: Tips to Maximize Your Practice Billing Codes,2024,lower extremity registry education: reducing acute renal failure in the pvi patient
Becoming Involved: Ongoing Opportunities for Vascular Surgeons,2024,lower extremity scenarios: introduction
Who Are the Best Patients to be Considered for Open AAA or TAAA Repair?,2024,lower extremity scenarios and panel discussion
Are Open Aortic Surgeries Today More Complicated Than 10 Years Ago?,2024,venous registries education: introduction
Open Aortic Surgery Planning and Exposure,2024,venous registries education: venous vqi 10th year anniversary –looking ahead to the next 10 years
Approach for Treatment of Infected Aortic Grafts,2024,venous registries education: ivc filter: days of future past
Endoleak Management: When Should Conversion to Open Repair be Considered?,2024,venous registries education: known knowns and known unknowns of venous stenting
"Role of Hybrid TAAA Repair: Patient Selection, Operative Approach, and Outcomes",2024,venous registries education: updates and trends for varicose vein
Current Training in Open Aortic Surgery: Potential Barriers and Future Direction,2024,venous registries education: using ai for varicose vein abstraction
Why I Got an MBA: How it Benefits Vascular Surgeons and the SVS,2024,venous registries panel discussion
Physicians as Administrators Benefits both Health Care Systems and Physicians,2024,hemodialysis access education: introduction
Healthcare Finance and Accounting 101 for the Vascular Surgery,2024,hemodialysis access education: obtaining ltfu for hemodialysis patients
Financial Mistakes to Avoid as a Vascular Surgeon,2024,hemodialysis access education and panel discussion
ASC and Office-Based Surgery: Is it Profitable and is it for Me?,2024,putting the new national quality initiative into action: overview on the vqi's smoking cessation national quality initiative
How to Manage the Ever-Changing Reimbursement Models While Maintaining Billing and Coding Appropriateness,2024,putting the new national quality initiative into action: improving smoking cessation in patients with vascular disease
Contract Negotiations and Dealing with Non-Compete Clauses,2024,putting the new national quality initiative into action: smoking cessation rates among canadian patients undergoing vascular surgical
Surgical Leadership: Financial Obstacles Vascular Surgeons Should Expect in 2024-2025,2024,putting the new national quality initiative into action: are smoking cessation education efforts effective?
Defining the Value of the Modern Vascular Surgeon: Why is There a Debate?,2024,putting the new national quality initiative into action: bridging the gap between inpatient and outpatient smoking cessation efforts after vascular surgery
Morphology of True Lumen and Surgical Outcomes of Acute Type A Aortic Dissection Repair with Visceral Malperfusion,2024,putting the new national quality initiative into action: igniting carilion clinic’s vascular surgery ‘stop smoking’ initiative
Computational Fluid Dynamic Analysis in Infrarenal Abdominal Aortic Aneurysm for Surveillance of Aneurysm Rupture,2024,putting the new national quality initiative into action: q&a
Staged Aortic Repair using Preemptive Total Arch Replacement with Elephant Trunk Implantation for Communicating DeBakey IIIb Chronic Dissecting Aortic Aneurysm,2024,qi case studies on surgical site infection and enhanced recovery: introduction
Arterial Blood Flow and Effects on Limb Tissue Perfusion During Endoshunting of the Common Iliac Artery in an Experimental Porcine Model,2024,qi case studies on surgical site infection and enhanced recovery: reducing readmissions for vascular surgical site infections at west virginia university medicine heart and vascular institute – a multidisciplinary quality improvement project
The Cost-effectiveness of Using Stent Graft to Treat New “Stent Graft-vein Junction” Stenosis for Dysfunctional Arteriovenous Graft,2024,qi case studies on surgical site infection and enhanced recovery: development and implementation of a surgical site infection reduction bundle after infrainguinal bypass surgery utilizing the vascular quality initiative (vqi) registry
High Plasma Levels of IsoDGR Fibronectin Are Associated with More Plaque Macrophages in a Large Cohort of Carotid Endarterectomy Patients,2024,qi case studies on surgical site infection and enhanced recovery: implementation of an enhanced recovery program (erp) for open aortic surgery
Cost-effectiveness Analysis of Intra- and Perilesional Recombinant Human Epidermal Growth Factor Versus Hydrocolloid Therapy in Venous Ulcer Treatment in the Colombian Context,2024,qi case studies on surgical site infection and enhanced recovery: q&a
Single-Center Clinical Outcomes of Endovascular Reconstruction for Chronic Juxtarenal AIOD,2024,advanced applications of vqi data usage and applicability to the vascular verification program: introduction
Acute Kidney Injury and Aorta-Related Mortality During Open Surgery of the Abdominal Aorta with Suprarenal Clamping Using Different Renal Perfusion Solutions,2024,advanced applications of vqi data usage and applicability to the vascular verification program: integration of carotid specialties for improved quality of care
Determinants of Shunt Use in Symptomatic Patients Undergoing Carotid Endarterectomy with Awake Cerebral Protection and Neurological Monitoring,2024,advanced applications of vqi data usage and applicability to the vascular verification program: operator report cards to encourage best practices to minimize post-contrast acute kidney injury during peripheral vascular interventions
Preliminary Study on the Use of Contrast Ultrasound in the Preoperative Workup of Patients Candidates for Carotid Endarterectomy,2024,advanced applications of vqi data usage and applicability to the vascular verification program: comprehensive case review pocma
Trends of Vascular Surgery Training and Education in Arab World,2024,advanced applications of vqi data usage and applicability to the vascular verification program: pathway to vascular verification program designation
Managing Trauma to the Head and Neck Vessels,2024,benefits of being verified
"The Mangled Extremity: Who, What and Where",2024,advanced applications of vqi data usage and applicability to the vascular verification program: q&a
Central Abdominal Aortic and Venous Injury,2024,monitoring quality care in evar: introduction
Thoracic Vascular Injury,2024,monitoring quality care in evar: impact of housing status on postoperative outcomes following evar and open aaa repair
Rare But Complex Trauma Populations,2024,monitoring quality care in evar: the effect of suprarenal versus infrarenal fixation on elective endovascular aortic repair outcomes
Who and How to Follow Trauma Patients,2024,monitoring quality care in evar: long-term evar assessment and follow-up (leaf) surveillance protocol – a multi-stakeholder initiative
Nitric Oxide Signaling and PAD: From Genetics to Bedside,2024,monitoring quality care in evar: q&a
Surgical Outcomes for Occluded Venous Thoracic Outlet Syndrome following Transaxillary First Rib Resection,2024,"data capture in the cas registry, with a focus on shared decision making: introduction"
